ID,Raw_Text,Label,Cleaned_Text
440,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,0,warning account blocked unless verify
441,Hello everyone!!! Have a great day 😃,0,hello everyone great day
442,I'm lovvvvving this new update!!! 💖💖,1,im lovvvvving new update
443,100% Guaranteed!!! Best deals only today.,1,guaranteed best deal today
444,I'm lovvvvving this new update!!! 💖💖,1,im lovvvvving new update
445,Loooveeee this!!! 💕💕💕,0,loooveeee
446,I'm lovvvvving this new update!!! 💖💖,1,im lovvvvving new update
447,Win a free iPhone!!! Click here: http://scam.com,1,win free iphone click
448,Order now and get 50% off! Limited time offer!,0,order get limited time offer
449,Order now and get 50% off! Limited time offer!,0,order get limited time offer
450,Follow me @user123 for more updates!!,0,follow user update
451,Win a free iPhone!!! Click here: http://scam.com,0,win free iphone click
452,Hey there!!! Visit my blog at https://example.com #blogging,1,hey visit blog blogging
453,SPAM ALERT!!! Click here to claim your prize: http://spam.com,1,spam alert click claim prize
454,SPAM ALERT!!! Click here to claim your prize: http://spam.com,1,spam alert click claim prize
455,Email me at contact@example.com for inquiries.,1,email inquiry
456,Hello everyone!!! Have a great day 😃,1,hello everyone great day
457,This is a test message with extraaaaaa letters!,0,test message extraaaaaa letter
458,Python is so cooool 😎😎!!!,1,python cooool
459,I'm lovvvvving this new update!!! 💖💖,1,im lovvvvving new update
460,Tooootallly agree with you!!!,1,tooootallly agree
461,This is a test message with extraaaaaa letters!,1,test message extraaaaaa letter
462,OMG!!! This is sooooo exciting 😱😱,1,omg sooooo exciting
463,Python is so cooool 😎😎!!!,0,python cooool
464,This is a test message with extraaaaaa letters!,1,test message extraaaaaa letter
465,Tooootallly agree with you!!!,1,tooootallly agree
466,Check out this new product: http://shop.com #shopping,1,check new product shopping
467,Breaking News!!! Read more at http://news.com,0,breaking news read
468,100% Guaranteed!!! Best deals only today.,1,guaranteed best deal today
469,Hello everyone!!! Have a great day 😃,1,hello everyone great day
470,Email me at contact@example.com for inquiries.,0,email inquiry
471,Best offer ever!!! Call now 123-456-7890,0,best offer ever call
472,Best offer ever!!! Call now 123-456-7890,0,best offer ever call
473,Hey there!!! Visit my blog at https://example.com #blogging,1,hey visit blog blogging
474,Hello everyone!!! Have a great day 😃,0,hello everyone great day
475,Python is so cooool 😎😎!!!,0,python cooool
476,Order now and get 50% off! Limited time offer!,1,order get limited time offer
477,Hello everyone!!! Have a great day 😃,0,hello everyone great day
478,Follow me @user123 for more updates!!,0,follow user update
479,SPAM ALERT!!! Click here to claim your prize: http://spam.com,1,spam alert click claim prize
480,100% Guaranteed!!! Best deals only today.,0,guaranteed best deal today
481,100% Guaranteed!!! Best deals only today.,1,guaranteed best deal today
482,Check out this new product: http://shop.com #shopping,0,check new product shopping
483,I'm lovvvvving this new update!!! 💖💖,1,im lovvvvving new update
484,Tooootallly agree with you!!!,0,tooootallly agree
485,Loooveeee this!!! 💕💕💕,1,loooveeee
486,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,1,warning account blocked unless verify
487,I'm lovvvvving this new update!!! 💖💖,1,im lovvvvving new update
488,Best offer ever!!! Call now 123-456-7890,1,best offer ever call
489,Best offer ever!!! Call now 123-456-7890,1,best offer ever call
490,Hello everyone!!! Have a great day 😃,0,hello everyone great day
491,Ohhh woww!! This is amaaazinggg 😍😍,1,ohhh woww amaaazinggg
492,I'm lovvvvving this new update!!! 💖💖,0,im lovvvvving new update
493,Best offer ever!!! Call now 123-456-7890,0,best offer ever call
494,I'm lovvvvving this new update!!! 💖💖,1,im lovvvvving new update
495,Win a free iPhone!!! Click here: http://scam.com,1,win free iphone click
496,Python is so cooool 😎😎!!!,1,python cooool
497,Email me at contact@example.com for inquiries.,1,email inquiry
498,Hey there!!! Visit my blog at https://example.com #blogging,0,hey visit blog blogging
499,SPAM ALERT!!! Click here to claim your prize: http://spam.com,1,spam alert click claim prize
500,Python is so cooool 😎😎!!!,0,python cooool
